file	result	first_error
scripts/dst/park_wake_dst.ail	FAIL	Error: type error in scripts/dst/park_wake_dst (decl 33): type unification failed at [function application at scripts/dst/park_wake_dst.ail:326:28]: failed to unify parameter 1: record field mismatch: expected 10 fields, got 9
scripts/dst/phase_c2_wiring_scenarios.ail	FAIL	Error: module loading error: failed to load pkg/sunholo/motoko_ext_empty_stop_guard/empty_stop_guard: failed to resolve package import "pkg/sunholo/motoko_ext_empty_stop_guard/empty_stop_guard": package "sunholo/motoko_ext_empty_stop_guard" not found in ailang.lock; run 'ailang lock' to resolve dependencies
scripts/dst/phase_c_approval_protocol.ail	ok	
scripts/dst/phase_c_l1_scenarios.ail	ok	
scripts/dst/phase_c_seeded_dst.ail	ok	
scripts/dst/profile_coverage_dst.ail	ok	
scripts/dst/profile_definition_dst.ail	ok	
scripts/dst/program_persistence_dst.ail	ok	
scripts/dst/recorded_stream_dst.ail	ok	
scripts/dst/recursion_depth_probe.ail	ok	
scripts/dst/registry_multiplicity_dst.ail	FAIL	Error: type error in scripts/dst/registry_multiplicity_dst (decl 9): type unification failed at [function application at scripts/dst/registry_multiplicity_dst.ail:70:17]: failed to unify parameter 0: failed to unify parameter 0: cannot unify type constructors: Json vs ()
scripts/dst/run_report_dst.ail	ok	
scripts/dst/runtime_status_tool_dst.ail	FAIL	Error: type error in scripts/dst/runtime_status_tool_dst (decl 18): type unification failed at [function application at scripts/dst/runtime_status_tool_dst.ail:129:40]: failed to unify parameter 1: record field mismatch: expected 10 fields, got 9
scripts/dst/scripted_cursor_probe.ail	FAIL	Error: type error in scripts/dst/scripted_cursor_probe (decl 20): type unification failed at [function application at scripts/dst/scripted_cursor_probe.ail:183:16]: failed to unify parameter 1: record field mismatch: expected 10 fields, got 9
scripts/dst/seeded_generator_dst.ail	FAIL	Error: type error in scripts/dst/seeded_generator_dst (decl 16): type unification failed at [function application at scripts/dst/seeded_generator_dst.ail:303:28]: failed to unify parameter 1: record field mismatch: expected 10 fields, got 9
scripts/dst/stream_parity_dst.ail	ok	
scripts/dst/strict_replay_dst.ail	FAIL	Error: type error in scripts/dst/strict_replay_dst (decl 18): type unification failed at [function application at scripts/dst/strict_replay_dst.ail:284:28]: failed to unify parameter 1: record field mismatch: expected 10 fields, got 9
scripts/dst/terminal_trace_dst.ail	ok	
scripts/dst/world_state_poison.ail	FAIL	Error: type error in scripts/dst/world_state_poison (decl 0): type unification failed at [function application at scripts/dst/world_state_poison.ail:54:28]: failed to unify parameter 1: record field mismatch: expected 10 fields, got 9
scripts/dst/world_state_probe.ail	FAIL	Error: type error in scripts/dst/world_state_probe (decl 22): type unification failed at [function application at scripts/dst/world_state_probe.ail:246:16]: failed to unify parameter 1: record field mismatch: expected 10 fields, got 9
scripts/eval/journal_replay.ail	ok	
scripts/fold_live_journal.ail	ok	
scripts/fold_parked_journal.ail	ok	
scripts/long_qwen_catalog_fixture_probe.ail	ok	
scripts/phase_f_pipeline_wiring.ail	ok	
scripts/probe_phase_c_hash.ail	ok	
scripts/probe_phase_vocab_sealed.ail	FAIL	Error: IMP010: symbol 'MkHistory' not exported by 'src/core/phase_vocab'
scripts/smoke_callstream.ail	ok	
scripts/smoke_catalog_compaction.ail	FAIL	Error: module loading error: failed to load pkg/sunholo/motoko_ext_compaction_structural/compaction_structural: failed to resolve package import "pkg/sunholo/motoko_ext_compaction_structural/compaction_structural": package "sunholo/motoko_ext_compaction_structural" not found in ailang.lock; run 'ailang lock' to resolve dependencies
scripts/smoke_compaction_e2e.ail	ok	
scripts/smoke_compaction_tool_call_id.ail	ok	
scripts/smoke_dispatch_adapter.ail	ok	
scripts/smoke_phase_a_tool_parity.ail	ok	
scripts/smoke_ports_record.ail	ok	
scripts/smoke_v2_backend.ail	ok	
scripts/smoke_v2_bash_wrap.ail	ok	
scripts/smoke_v2_compaction.ail	ok	
scripts/smoke_v2_compaction_chain.ail	FAIL	Error: type error in scripts/smoke_v2_compaction_chain (decl 2): type unification failed at [return type annotation at scripts/smoke_v2_compaction_chain.ail:47:1]: record field mismatch: expected 20 fields, got 23
scripts/smoke_v2_compaction_full_loop.ail	FAIL	Error: module loading error: failed to load pkg/sunholo/motoko_ext_compaction_structural/register: failed to resolve package import "pkg/sunholo/motoko_ext_compaction_structural/register": package "sunholo/motoko_ext_compaction_structural" not found in ailang.lock; run 'ailang lock' to resolve dependencies
scripts/smoke_v2_compaction_tiers.ail	FAIL	Error: module loading error: failed to load pkg/sunholo/motoko_ext_compaction_structural/compaction_structural: failed to resolve package import "pkg/sunholo/motoko_ext_compaction_structural/compaction_structural": package "sunholo/motoko_ext_compaction_structural" not found in ailang.lock; run 'ailang lock' to resolve dependencies
scripts/smoke_v2_conversation.ail	ok	
scripts/smoke_v2_cost_budget.ail	ok	
scripts/smoke_v2_cost_budget_full_loop.ail	ok	
scripts/smoke_v2_dp7_gate.ail	ok	
scripts/smoke_v2_ext_fixture_parity.ail	ok	
scripts/smoke_v2_factual.ail	ok	
